num,region,ordendelitos,Delitos,ene2015,feb2015,mar2015,abr2015,may2015,jun2015,jul2015,ago2015,sep2015,oct2015,nov2015,dic2015,ene2016,feb2016,mar2016,abr2016,may2016,jun2016,jul2016,ago2016,sep2016,oct2016,nov2016,dic2016,ene2017,feb2017,mar2017,abr2017,may2017,jun2017,jul2017,ago2017,sep2017,oct2017,nov2017,dic2017,ene2018,feb2018,mar2018,abr2018,may2018,jun2018,jul2018,ago2018,sep2018,oct2018,nov2018,dic2018,ene2019,feb2019,mar2019,abr2019,may2019,jun2019,jul2019,ago2019,sep2019,oct2019,nov2019,dic2019
4,IV,6,Robo con violencia,16.0,24.0,20.0,20.0,21.0,18.0,16.0,21.0,10.0,13.0,23.0,20.0,23.0,14.0,10.0,24.0,23.0,19.0,8.0,6.0,12.0,12.0,16.0,12.0,15.0,17.0,21.0,11.0,22.0,32.0,35.0,25.0,26.0,28.0,40.0,30.0,27.0,32.0,31.0,26.0,45.0,38.0,42.0,40.0,40.0,33.0,40.0,27.0,39.0,24.0,40.0,29.0,23.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,7,Robo de vehículo,45.0,48.0,41.0,29.0,35.0,28.0,40.0,30.0,40.0,32.0,41.0,32.0,31.0,40.0,33.0,34.0,35.0,38.0,29.0,22.0,18.0,20.0,21.0,28.0,18.0,30.0,38.0,16.0,39.0,36.0,47.0,63.0,46.0,34.0,59.0,50.0,69.0,70.0,71.0,62.0,78.0,65.0,72.0,80.0,63.0,64.0,83.0,89.0,77.0,50.0,70.0,63.0,59.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,8,Robo a casa habitación,9.0,6.0,9.0,4.0,0.0,1.0,3.0,1.0,1.0,0.0,1.0,3.0,0.0,1.0,3.0,2.0,2.0,5.0,4.0,4.0,3.0,2.0,7.0,2.0,2.0,1.0,1.0,6.0,5.0,3.0,5.0,3.0,3.0,4.0,4.0,6.0,4.0,8.0,18.0,11.0,14.0,13.0,11.0,11.0,12.0,10.0,9.0,10.0,11.0,9.0,12.0,13.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,9,Robo de negocio,0.0,5.0,3.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,2.0,4.0,0.0,3.0,4.0,1.0,10.0,7.0,4.0,4.0,7.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,10,Robo a transeúnte total,9.0,6.0,7.0,2.0,1.0,2.0,2.0,6.0,6.0,1.0,3.0,3.0,5.0,1.0,1.0,5.0,6.0,4.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,2.0,3.0,4.0,4.0,6.0,10.0,3.0,5.0,7.0,8.0,9.0,3.0,4.0,10.0,6.0,12.0,8.0,7.0,11.0,9.0,4.0,6.0,3.0,8.0,4.0,10.0,5.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,11,Violación,5.0,6.0,1.0,3.0,5.0,6.0,1.0,6.0,5.0,3.0,3.0,4.0,4.0,2.0,3.0,3.0,6.0,1.0,2.0,6.0,5.0,3.0,3.0,0.0,1.0,4.0,5.0,3.0,6.0,4.0,4.0,8.0,5.0,4.0,4.0,6.0,3.0,7.0,5.0,4.0,9.0,7.0,6.0,5.0,4.0,4.0,3.0,5.0,2.0,8.0,4.0,3.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,12,Trata de personas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,IV,13,Narcomenudeo,8.0,17.0,15.0,15.0,9.0,7.0,8.0,10.0,5.0,6.0,7.0,4.0,2.0,2.0,2.0,7.0,10.0,10.0,1.0,8.0,5.0,16.0,12.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,4.0,2.0,2.0,8.0,7.0,1.0,5.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,1,Homicidio doloso,36.0,27.0,36.0,29.0,48.0,41.0,27.0,41.0,39.0,37.0,46.0,51.0,46.0,37.0,50.0,43.0,65.0,42.0,52.0,63.0,44.0,46.0,47.0,41.0,49.0,35.0,49.0,51.0,56.0,54.0,37.0,52.0,58.0,66.0,54.0,48.0,57.0,35.0,32.0,58.0,47.0,53.0,64.0,43.0,56.0,57.0,71.0,68.0,59.0,45.0,70.0,56.0,50.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
5,V,2,Feminicidio,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,3.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,3.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
