CVE_ENT,CVE_MUN,CVEGEO,NOMGEO,num,region,pop2015,pop2016,pop2017,pop2018,pop2019
15,58,15058,Nezahualcóyotl,10,NEZAHUALCÓYOTL,1174479,1185320,1196638,1208212,1219863
15,60,15060,Nicolás Romero,4,CUAUTITLÁN IZCALLI,425137,432900,440281,447341,454124
15,61,15061,Nopaltepec,11,OTUMBA,9756,9881,10006,10132,10257
15,62,15062,Ocoyoacac,7,LERMA,69973,71087,72163,73207,74222
15,63,15063,Ocuilan,13,TENANCINGO,36633,37301,37952,38589,39215
15,65,15065,Otumba,11,OTUMBA,38757,39374,39973,40556,41126
15,66,15066,Otzoloapan,19,VALLE DE BRAVO,5187,5242,5301,5363,5428
15,67,15067,Otzolotepec,6,IXTLAHUACA,88738,90307,91855,93384,94896
15,68,15068,Ozumba,1,AMECAMECA,30693,31180,31655,32120,32576
15,69,15069,Papalotla,11,OTUMBA,4609,4675,4739,4803,4865
15,71,15071,Polotitlán,2,ATLACOMULCO,14156,14330,14505,14681,14856
15,72,15072,Rayón,13,TENANCINGO,9759,9875,9992,10112,10232
15,73,15073,San Antonio la Isla,13,TENANCINGO,29503,30369,31140,31835,32472
15,74,15074,San Felipe del Progreso,6,IXTLAHUACA,139879,142619,145328,148019,150698
15,124,15124,San José del Rincón,2,ATLACOMULCO,101878,103572,105308,107082,108893
15,75,15075,San Martín de las Pirámides,11,OTUMBA,28350,28829,29292,29739,30173
15,76,15076,San Mateo Atenco,8,METEPEC,80373,81579,82786,83992,85193
15,77,15077,San Simón de Guerrero,19,VALLE DE BRAVO,7057,7167,7275,7381,7487
15,78,15078,Santo Tomás,19,VALLE DE BRAVO,9780,9900,10027,10159,10294
15,79,15079,Soyaniquilpan de Juárez,2,ATLACOMULCO,13081,13267,13450,13630,13808
15,80,15080,Sultepec,12,TEJUPILCO,27586,27902,28241,28599,28973
15,81,15081,Tecámac,5,ECATEPEC,444503,454427,463582,472126,480181
15,82,15082,Tejupilco,12,TEJUPILCO,79409,80639,81873,83110,84351
15,83,15083,Temamatla,1,AMECAMECA,12504,12703,12902,13100,13297
15,84,15084,Temascalapa,11,OTUMBA,39730,40284,40838,41389,41937
15,85,15085,Temascalcingo,2,ATLACOMULCO,68840,69810,70797,71798,72807
15,86,15086,Temascaltepec,19,VALLE DE BRAVO,35904,36383,36877,37383,37899
15,87,15087,Temoaya,6,IXTLAHUACA,101917,103724,105521,107309,109088
15,88,15088,Tenancingo,13,TENANCINGO,102339,103989,105614,107217,108797
15,89,15089,Tenango del Aire,1,AMECAMECA,11911,12096,12276,12452,12625
15,90,15090,Tenango del Valle,13,TENANCINGO,87803,89220,90617,91996,93357
15,91,15091,Teoloyucan,14,TEPOTZOTLÁN,62605,62968,63450,64019,64647
15,92,15092,Teotihuacán,11,OTUMBA,59893,60850,61779,62684,63566
15,93,15093,Tepetlaoxtoc,11,OTUMBA,30945,31391,31835,32277,32716
15,94,15094,Tepetlixpa,1,AMECAMECA,20284,20568,20848,21125,21397
15,95,15095,Tepotzotlán,14,TEPOTZOTLÁN,106721,108974,111059,113009,114849
15,96,15096,Tequixquiac,20,ZUMPANGO,37580,38122,38660,39195,39725
15,97,15097,Texcaltitlán,19,VALLE DE BRAVO,19184,19467,19756,20050,20347
15,98,15098,Texcalyacac,7,LERMA,5741,5831,5918,6004,6089
15,99,15099,Texcoco,15,TEXCOCO,265492,269661,273698,277618,281425
15,100,15100,Tezoyuca,15,TEXCOCO,43511,44534,45474,46349,47172
15,101,15101,Tianguistenco,7,LERMA,78633,79831,81024,82211,83388
15,102,15102,Timilpan,2,ATLACOMULCO,16882,17108,17336,17565,17795
15,103,15103,Tlalmanalco,1,AMECAMECA,50351,50980,51612,52242,52867
15,104,15104,Tlalnepantla de Baz,16,TLALNEPANTLA,700958,706889,713046,719304,725563
15,105,15105,Tlatlaya,12,TEJUPILCO,34523,34804,35119,35461,35824
